"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rbmx.1",0.000229098273447711,-0.251436631085989,0.16,0.291,1,"2","Rbmx"
"Rprd1a",0.000231872953253212,-0.271274427187798,0.41,0.63,1,"2","Rprd1a"
"Gm2115",0.000235805439322196,-0.436708228520974,0.137,0.251,1,"2","Gm2115"
"Zdhhc9",0.000247346330848872,1.0392651703249,0.283,0.226,1,"2","Zdhhc9"
"Elp5",0.000247388781205522,-0.255242477611401,0.372,0.594,1,"2","Elp5"
"Pttg1ip.1",0.000248125437307984,0.514228109349222,0.614,0.655,1,"2","Pttg1ip"
"Zfp704",0.000248759445039998,-0.261927021206601,0.239,0.401,1,"2","Zfp704"
"Itpa.1",0.000255397136320125,-0.271641519099136,0.413,0.621,1,"2","Itpa"
"Tmem134.1",0.000258003113578724,0.580584550512881,0.546,0.577,1,"2","Tmem134"
"Ubr4",0.000258267131392249,-0.266341892548871,0.509,0.725,1,"2","Ubr4"
"Smarca4",0.000265905556253565,-0.25121338548243,0.556,0.773,1,"2","Smarca4"
"Dot1l.1",0.000283289195060908,-0.413515384322493,0.311,0.487,1,"2","Dot1l"
"Mark3.1",0.000287349981464935,-0.279402699545244,0.41,0.625,1,"2","Mark3"
"Stk38.1",0.000289677979555457,-0.303350818848774,0.171,0.302,1,"2","Stk38"
"Tbrg4",0.000298652162294653,-0.375014993423166,0.137,0.252,1,"2","Tbrg4"
"Ptpre",0.000302822300426316,-0.261063173438997,0.171,0.299,1,"2","Ptpre"
"Pus1",0.000306416845877407,-0.297325357554492,0.143,0.264,1,"2","Pus1"
"Ltbp3.1",0.000308795858732826,-0.397218750550716,0.345,0.525,1,"2","Ltbp3"
"Myl12a.1",0.000310175011009337,0.482218852780787,0.567,0.593,1,"2","Myl12a"
"Twf1",0.000320247496488068,0.64909381017404,0.457,0.463,1,"2","Twf1"
"Timm44.1",0.000333257720253333,-0.302588937767234,0.324,0.514,1,"2","Timm44"
"Fam50a",0.000334359057542067,-0.292102110410322,0.16,0.287,1,"2","Fam50a"
"Gstk1",0.000335437696364617,0.996921234702902,0.321,0.274,1,"2","Gstk1"
"Rbm10.1",0.000338424841610992,-0.280424004534009,0.317,0.497,1,"2","Rbm10"
"Apbb2.1",0.000346489756736071,0.852692704411895,0.406,0.393,1,"2","Apbb2"
"Son.2",0.000353830581727258,-0.285349289463757,0.706,0.886,1,"2","Son"
"Cpsf7",0.000354153327138408,-0.280511475111848,0.276,0.447,1,"2","Cpsf7"
"Clic1.2",0.00036157280644371,-0.367899239083742,0.198,0.33,1,"2","Clic1"
"Git2.1",0.000361675287216648,-0.32699019394134,0.218,0.362,1,"2","Git2"
"Lrrc58",0.000362180024767403,0.401962471014853,0.669,0.739,1,"2","Lrrc58"
"Pcsk6.1",0.000368376165113603,0.56790594297411,0.406,0.35,1,"2","Pcsk6"
"Trabd.1",0.000369586016181859,-0.319145554252982,0.198,0.331,1,"2","Trabd"
"Whamm",0.000373717811342537,-0.280900173656532,0.154,0.276,1,"2","Whamm"
"Mtch2.2",0.00037800744176912,-0.344549611028828,0.628,0.812,1,"2","Mtch2"
"Zcchc8.1",0.000378015710240026,-0.337320164160894,0.171,0.298,1,"2","Zcchc8"
"Ppp1cc.2",0.000381270358363711,-0.351119440400527,0.761,0.9,1,"2","Ppp1cc"
"Ldah.1",0.000386792945588818,0.819990209582077,0.386,0.362,1,"2","Ldah"
"Tmem9b",0.000389855892768818,0.31844683269726,0.768,0.824,1,"2","Tmem9b"
"Pcbd1.2",0.000396035349685011,-0.2888447633614,0.14,0.254,1,"2","Pcbd1"
"Arhgap21.1",0.000412205289760483,-0.274248521957895,0.515,0.713,1,"2","Arhgap21"
"Klhl13.2",0.000415115362593994,-0.306177672142057,0.164,0.287,1,"2","Klhl13"
"Cic.1",0.000415998763521662,-0.27915539216148,0.539,0.766,1,"2","Cic"
"Crip2.2",0.000416587879490483,-0.281225541584415,0.509,0.679,1,"2","Crip2"
"Fxyd5.1",0.000419508023190304,-0.268852161107088,0.191,0.327,1,"2","Fxyd5"
"Scp2.1",0.000429206428285135,0.266181653242321,0.846,0.915,1,"2","Scp2"
"Ppm1b.1",0.000430868625405089,-0.310237109075131,0.56,0.765,1,"2","Ppm1b"
"Nfib.1",0.000448951931985665,-0.262100481336374,0.495,0.702,1,"2","Nfib"
"Pdrg1.2",0.000450191353195247,-0.321720452811694,0.386,0.584,1,"2","Pdrg1"
"Zic1.2",0.000451756605816072,-0.838078559357579,0.536,0.615,1,"2","Zic1"
"Crat",0.000468784446768666,-0.250582777359824,0.28,0.457,1,"2","Crat"
"Trpm3.1",0.000476324301974222,-0.366428554700105,0.406,0.596,1,"2","Trpm3"
"Fryl.1",0.000491994353775769,0.665765267687717,0.437,0.437,1,"2","Fryl"
"Ppp2r2a",0.000498232886509855,0.497893352394304,0.594,0.634,1,"2","Ppp2r2a"
"Ly86",0.000499440090943916,1.15853489193188,0.314,0.271,1,"2","Ly86"
"Ptprm.1",0.000517558413550846,-0.41161632204789,0.218,0.354,1,"2","Ptprm"
"Ppp1r1b",0.00052344672890962,-0.309335702355386,0.396,0.588,1,"2","Ppp1r1b"
"Fat2.2",0.000534213695728738,-0.958469853764647,0.27,0.366,1,"2","Fat2"
"Ctnna1.1",0.000534231588044528,0.684954683605087,0.505,0.523,1,"2","Ctnna1"
"Nxt2",0.000548638052580933,0.81837813828209,0.396,0.377,1,"2","Nxt2"
"Pak2.1",0.000561597507771043,0.667413935165474,0.474,0.487,1,"2","Pak2"
